Capacity,Occupancy,LastUpdated
1200,237,2021-10-04 07:59:42
1200,315,2021-10-04 08:25:42
1200,441,2021-10-04 08:59:42
1200,552,2021-10-04 09:32:46
1200,638,2021-10-04 09:59:48
1200,686,2021-10-04 10:26:49
1200,729,2021-10-04 10:59:48
1200,765,2021-10-04 11:25:47
1200,771,2021-10-04 11:59:44
1200,779,2021-10-04 12:29:45
1200,773,2021-10-04 13:02:48
1200,758,2021-10-04 13:29:45
1200,757,2021-10-04 14:02:47
1200,760,2021-10-04 14:29:49
1200,727,2021-10-04 14:57:13
1200,678,2021-10-04 15:30:14
1200,648,2021-10-04 16:04:12
1200,565,2021-10-04 16:31:14
1200,229,2021-10-05 07:57:17
1200,333,2021-10-05 08:30:15
1200,470,2021-10-05 09:04:19
1200,584,2021-10-05 09:30:15
1200,699,2021-10-05 10:04:15
1200,736,2021-10-05 10:30:17
1200,757,2021-10-05 11:04:19
1200,774,2021-10-05 11:30:18
1200,779,2021-10-05 12:04:14
1200,770,2021-10-05 12:30:16
1200,756,2021-10-05 12:57:15
1200,761,2021-10-05 13:30:19
1200,764,2021-10-05 13:57:20
1200,767,2021-10-05 14:30:17
1200,747,2021-10-05 14:57:19
1200,698,2021-10-05 15:30:15
1200,641,2021-10-05 16:04:18
1200,544,2021-10-05 16:30:17
1200,225,2021-10-06 07:57:25
1200,304,2021-10-06 08:30:20
1200,402,2021-10-06 08:57:22
1200,534,2021-10-06 09:30:20
1200,606,2021-10-06 10:03:20
1200,646,2021-10-06 10:30:20
1200,676,2021-10-06 10:57:20
1200,696,2021-10-06 11:30:22
1200,711,2021-10-06 12:04:24
1200,723,2021-10-06 12:30:24
1200,728,2021-10-06 12:57:21
1200,727,2021-10-06 13:30:21
1200,724,2021-10-06 13:57:22
1200,701,2021-10-06 14:30:23
1200,683,2021-10-06 15:04:22
1200,642,2021-10-06 15:31:22
1200,593,2021-10-06 16:04:23
1200,521,2021-10-06 16:30:27
1200,242,2021-10-07 08:03:27
1200,324,2021-10-07 08:30:27
1200,424,2021-10-07 09:04:13
1200,508,2021-10-07 09:30:27
1200,580,2021-10-07 09:57:27
1200,619,2021-10-07 10:30:27
1200,656,2021-10-07 10:57:30
1200,677,2021-10-07 11:30:28
1200,683,2021-10-07 12:03:29
1200,681,2021-10-07 12:30:28
1200,682,2021-10-07 13:04:28
1200,679,2021-10-07 13:30:29
1200,676,2021-10-07 14:03:28
