Capacity,Occupancy,LastUpdated,PercentOccupied
485,249,2021-10-04 07:59:42,0.51340206185567
485,267,2021-10-04 08:25:42,0.5505154639175258
485,278,2021-10-04 08:59:42,0.5731958762886598
485,302,2021-10-04 09:32:46,0.622680412371134
485,327,2021-10-04 09:59:48,0.6742268041237114
485,351,2021-10-04 10:26:49,0.7237113402061855
485,371,2021-10-04 10:59:48,0.7649484536082474
485,373,2021-10-04 11:25:47,0.7690721649484537
485,381,2021-10-04 11:59:44,0.7855670103092783
485,379,2021-10-04 12:29:45,0.7814432989690722
485,374,2021-10-04 12:56:49,0.7711340206185567
485,375,2021-10-04 13:29:45,0.7731958762886598
485,381,2021-10-04 14:02:47,0.7855670103092783
485,373,2021-10-04 14:29:49,0.7690721649484537
485,354,2021-10-04 14:57:13,0.7298969072164948
485,338,2021-10-04 15:30:14,0.6969072164948453
485,317,2021-10-04 16:04:12,0.6536082474226804
485,304,2021-10-04 16:31:14,0.6268041237113402
485,268,2021-10-05 07:57:17,0.5525773195876289
485,273,2021-10-05 08:30:15,0.5628865979381443
485,293,2021-10-05 09:04:19,0.6041237113402061
485,317,2021-10-05 09:30:15,0.6536082474226804
485,339,2021-10-05 10:04:15,0.6989690721649484
485,355,2021-10-05 10:30:17,0.7319587628865979
485,367,2021-10-05 11:04:19,0.756701030927835
485,366,2021-10-05 11:30:18,0.7546391752577319
485,369,2021-10-05 12:04:14,0.7608247422680412
485,376,2021-10-05 12:17:19,0.7752577319587629
485,373,2021-10-05 12:57:15,0.7690721649484537
485,372,2021-10-05 13:30:19,0.7670103092783506
485,368,2021-10-05 13:57:20,0.7587628865979381
485,361,2021-10-05 14:30:17,0.7443298969072165
485,356,2021-10-05 14:57:19,0.734020618556701
485,325,2021-10-05 15:30:15,0.6701030927835051
485,316,2021-10-05 15:57:17,0.6515463917525773
485,299,2021-10-05 16:30:17,0.6164948453608248
485,260,2021-10-06 07:57:25,0.5360824742268041
485,277,2021-10-06 08:30:20,0.5711340206185567
485,282,2021-10-06 08:57:22,0.5814432989690722
485,297,2021-10-06 09:30:20,0.6123711340206186
